,0.296267,0.308107,0.319947,0.347573,0.367307,0.38704,0.406773,0.426507,0.44624,0.46992,0.489653,0.509387,0.52912,0.548853,0.568587,0.58832,0.608053,0.627787,0.64752,0.66528,0.68896,0.70672,0.72448,0.74816,0.76592,0.7896,0.80736,0.82512,0.8488,0.86656,0.88432,0.908,0.92576,0.94944,0.9672,0.98496,1.00272,1.0264,1.08955,1.1448,1.20795,1.2632,1.32635,1.39739,1.46843,1.53552,1.6184,1.70128,1.78416,1.87888,1.9736,2.0624,2.166,2.2844,2.388,2.5064,2.64453,2.76293,2.9208,3.06288,3.20496,3.37072,3.53648,3.72592,3.91536,4.1048,4.312,4.5192,4.756,4.9928,5.2296,5.496,5.792,6.0584,6.384,6.7096,7.0352,7.3904,7.7456,8.1304,8.5448,8.9888,9.4328,9.9064,10.4096
5.52e-07,1.55781e-06,7.47813e-06,3.82685e-05,0.000244852,0.000350785,0.00033241,0.00027051,0.000188968,0.000126278,8.41753e-05,5.71928e-05,3.9995e-05,3.07378e-05,2.27543e-05,1.73501e-05,1.35887e-05,1.08997e-05,8.92859e-06,7.45001e-06,6.5688e-06,5.71576e-06,4.82557e-06,4.29574e-06,3.85509e-06,3.48473e-06,3.1705e-06,2.82048e-06,2.59924e-06,2.40652e-06,2.23754e-06,2.04267e-06,1.91545e-06,1.80182e-06,1.69983e-06,1.6079e-06,1.49871e-06,1.43824e-06,1.37757e-06,1.17639e-06,1.04125e-06,9.32944e-07,8.44415e-07,7.61336e-07,6.92845e-07,6.28947e-07,5.83582e-07,5.30458e-07,4.92007e-07,4.53604e-07,4.20738e-07,3.88546e-07,3.62556e-07,3.36303e-07,3.13592e-07,2.93754e-07,2.74829e-07,2.57438e-07,2.42118e-07,2.26401e-07,2.13441e-07,1.98854e-07,1.8785e-07,1.76459e-07,1.66372e-07,1.5617e-07,1.48348e-07,1.39475e-07,1.31604e-07,1.24574e-07,1.17407e-07,1.1102e-07,1.05292e-07,9.95165e-08,9.37998e-08,8.87045e-08,8.41345e-08,7.96221e-08,7.55694e-08,7.15939e-08,6.7734e-08,6.4269e-08,6.09133e-08,5.78907e-08,5.49683e-08,5.21597e-08
6.62e-07,1.86824e-06,8.96834e-06,4.58946e-05,0.000293645,0.000420687,0.00039865,0.000324414,0.000226624,0.000151442,0.000100949,6.85901e-05,4.79649e-05,3.68631e-05,2.72887e-05,2.08075e-05,1.62966e-05,1.30718e-05,1.07078e-05,8.93462e-06,7.87778e-06,6.85479e-06,5.78719e-06,5.15178e-06,4.6233e-06,4.17915e-06,3.80231e-06,3.38254e-06,3.11721e-06,2.88608e-06,2.68343e-06,2.44972e-06,2.29715e-06,2.16086e-06,2.03857e-06,1.92832e-06,1.79736e-06,1.72484e-06,1.65208e-06,1.41082e-06,1.24875e-06,1.11885e-06,1.01269e-06,9.13057e-07,8.30906e-07,7.54278e-07,6.99876e-07,6.36167e-07,5.90053e-07,5.43997e-07,5.04581e-07,4.65974e-07,4.34805e-07,4.0332e-07,3.76084e-07,3.52292e-07,3.29595e-07,3.08739e-07,2.90367e-07,2.71517e-07,2.55975e-07,2.3848e-07,2.25284e-07,2.11623e-07,1.99526e-07,1.87291e-07,1.7791e-07,1.67269e-07,1.57829e-07,1.49398e-07,1.40803e-07,1.33143e-07,1.26274e-07,1.19348e-07,1.12492e-07,1.06381e-07,1.009e-07,9.54889e-08,9.06284e-08,8.58609e-08,8.12317e-08,7.70762e-08,7.30518e-08,6.94269e-08,6.59221e-08,6.25539e-08
7.95e-07,2.24358e-06,1.07701e-05,5.51149e-05,0.000352638,0.000505203,0.000478741,0.000389592,0.000272153,0.000181867,0.000121231,8.237e-05,5.76013e-05,4.42691e-05,3.27711e-05,2.49878e-05,1.95708e-05,1.5698e-05,1.28591e-05,1.07296e-05,9.46049e-06,8.23194e-06,6.94987e-06,6.18681e-06,5.55215e-06,5.01876e-06,4.56621e-06,4.06211e-06,3.74347e-06,3.46592e-06,3.22255e-06,2.94188e-06,2.75866e-06,2.595e-06,2.44812e-06,2.31573e-06,2.15846e-06,2.07138e-06,1.984e-06,1.69427e-06,1.49963e-06,1.34364e-06,1.21614e-06,1.09649e-06,9.97846e-07,9.05819e-07,8.40486e-07,7.63977e-07,7.08597e-07,6.53289e-07,6.05956e-07,5.5959e-07,5.22159e-07,4.84347e-07,4.51639e-07,4.23071e-07,3.95813e-07,3.70767e-07,3.48703e-07,3.26068e-07,3.07401e-07,2.86392e-07,2.70545e-07,2.5414e-07,2.39612e-07,2.24919e-07,2.13653e-07,2.00874e-07,1.89538e-07,1.79413e-07,1.69091e-07,1.59893e-07,1.51644e-07,1.43325e-07,1.35092e-07,1.27754e-07,1.21172e-07,1.14673e-07,1.08836e-07,1.03111e-07,9.75516e-08,9.25613e-08,8.77283e-08,8.33752e-08,7.91663e-08,7.51214e-08
9.54e-07,2.6923e-06,1.29242e-05,6.6138e-05,0.000423165,0.000606244,0.000574487,0.000467507,0.000326584,0.000218241,0.000145477,9.88442e-05,6.91217e-05,5.31228e-05,3.93253e-05,2.99853e-05,2.34848e-05,1.88376e-05,1.5431e-05,1.28756e-05,1.13526e-05,9.87834e-06,8.33985e-06,7.42418e-06,6.66258e-06,6.02252e-06,5.47945e-06,4.87453e-06,4.49217e-06,4.1591e-06,3.86706e-06,3.53025e-06,3.31038e-06,3.114e-06,2.93775e-06,2.77888e-06,2.59015e-06,2.48565e-06,2.3808e-06,2.03312e-06,1.79956e-06,1.61237e-06,1.45937e-06,1.31579e-06,1.19741e-06,1.08698e-06,1.00858e-06,9.16767e-07,8.50314e-07,7.83944e-07,7.27143e-07,6.71507e-07,6.26592e-07,5.8122e-07,5.41969e-07,5.07683e-07,4.74977e-07,4.44921e-07,4.18444e-07,3.9128e-07,3.68882e-07,3.43672e-07,3.24655e-07,3.04967e-07,2.87534e-07,2.69903e-07,2.56384e-07,2.41049e-07,2.27445e-07,2.15295e-07,2.02909e-07,1.91872e-07,1.81973e-07,1.7199e-07,1.62111e-07,1.53305e-07,1.45406e-07,1.37608e-07,1.30603e-07,1.23733e-07,1.17062e-07,1.11073e-07,1.05274e-07,1.0005e-07,9.49992e-08,9.01457e-08
1.14e-06,3.2172e-06,1.5444e-05,7.90328e-05,0.000505667,0.000724439,0.000686491,0.000558655,0.000390256,0.00026079,0.00017384,0.000118116,8.25982e-05,6.348e-05,4.69925e-05,3.58314e-05,2.80636e-05,2.25103e-05,1.84394e-05,1.53859e-05,1.3566e-05,1.18043e-05,9.96586e-06,8.87165e-06,7.96158e-06,7.19672e-06,6.54777e-06,5.82491e-06,5.368e-06,4.97e-06,4.62102e-06,4.21854e-06,3.95581e-06,3.72113e-06,3.51052e-06,3.32067e-06,3.09515e-06,2.97027e-06,2.84497e-06,2.42951e-06,2.15041e-06,1.92673e-06,1.7439e-06,1.57233e-06,1.43087e-06,1.29891e-06,1.20522e-06,1.09551e-06,1.0161e-06,9.36791e-07,8.68918e-07,8.02434e-07,7.48759e-07,6.94537e-07,6.47635e-07,6.06666e-07,5.67582e-07,5.31665e-07,5.00029e-07,4.67567e-07,4.40801e-07,4.10675e-07,3.8795e-07,3.64426e-07,3.43594e-07,3.22526e-07,3.0637e-07,2.88045e-07,2.71789e-07,2.57271e-07,2.42471e-07,2.2928e-07,2.17452e-07,2.05523e-07,1.93718e-07,1.83194e-07,1.73756e-07,1.64437e-07,1.56067e-07,1.47857e-07,1.39885e-07,1.3273e-07,1.25799e-07,1.19557e-07,1.13521e-07,1.07721e-07
1.37e-06,3.8663e-06,1.85599e-05,9.49779e-05,0.000607688,0.000870594,0.000824989,0.000671363,0.00046899,0.000313404,0.000208912,0.000141946,9.92626e-05,7.62874e-05,5.64735e-05,4.30606e-05,3.37256e-05,2.70518e-05,2.21596e-05,1.84901e-05,1.63029e-05,1.41858e-05,1.19765e-05,1.06616e-05,9.56786e-06,8.64869e-06,7.86882e-06,7.00011e-06,6.45102e-06,5.97272e-06,5.55333e-06,5.06965e-06,4.75392e-06,4.47188e-06,4.21878e-06,3.99063e-06,3.71961e-06,3.56954e-06,3.41897e-06,2.91968e-06,2.58427e-06,2.31546e-06,2.09574e-06,1.88955e-06,1.71956e-06,1.56097e-06,1.44838e-06,1.31653e-06,1.2211e-06,1.12579e-06,1.04422e-06,9.64329e-07,8.99823e-07,8.34664e-07,7.78298e-07,7.29063e-07,6.82093e-07,6.38932e-07,6.0091e-07,5.61902e-07,5.29735e-07,4.93531e-07,4.66221e-07,4.37952e-07,4.12915e-07,3.87595e-07,3.68182e-07,3.46161e-07,3.26625e-07,3.09178e-07,2.91389e-07,2.75538e-07,2.61324e-07,2.46989e-07,2.328e-07,2.20155e-07,2.08812e-07,1.97612e-07,1.87555e-07,1.77688e-07,1.68108e-07,1.59508e-07,1.51179e-07,1.43678e-07,1.36425e-07,1.29454e-07
1.65e-06,4.65649e-06,2.23531e-05,0.000114389,0.000731885,0.00104852,0.000993594,0.000808573,0.000564842,0.000377458,0.000251609,0.000170956,0.00011955,9.1879e-05,6.80154e-05,5.18614e-05,4.06183e-05,3.25807e-05,2.66888e-05,2.22691e-05,1.96349e-05,1.70851e-05,1.44243e-05,1.28406e-05,1.15233e-05,1.04163e-05,9.47705e-06,8.43079e-06,7.76948e-06,7.19341e-06,6.68831e-06,6.10578e-06,5.72551e-06,5.38585e-06,5.08101e-06,4.80624e-06,4.47983e-06,4.29908e-06,4.11773e-06,3.5164e-06,3.11244e-06,2.78869e-06,2.52407e-06,2.27574e-06,2.07099e-06,1.88e-06,1.7444e-06,1.58561e-06,1.47067e-06,1.35588e-06,1.25764e-06,1.16142e-06,1.08373e-06,1.00525e-06,9.37366e-07,8.78069e-07,8.21499e-07,7.69518e-07,7.23722e-07,6.76743e-07,6.38004e-07,5.94398e-07,5.61509e-07,5.27461e-07,4.97308e-07,4.66812e-07,4.43431e-07,4.16907e-07,3.93381e-07,3.72367e-07,3.50943e-07,3.31853e-07,3.14732e-07,2.97468e-07,2.8038e-07,2.65149e-07,2.51488e-07,2.38001e-07,2.25887e-07,2.14004e-07,2.02466e-07,1.92109e-07,1.82078e-07,1.73043e-07,1.64307e-07,1.55912e-07
1.98e-06,5.58778e-06,2.68237e-05,0.000137267,0.000878259,0.00125822,0.00119231,0.000970281,0.000677805,0.000452948,0.000301929,0.000205148,0.000143459,0.000110255,8.16184e-05,6.22336e-05,4.8742e-05,3.90969e-05,3.20264e-05,2.67229e-05,2.35619e-05,2.05022e-05,1.73091e-05,1.54086e-05,1.3828e-05,1.24996e-05,1.13725e-05,1.01169e-05,9.32338e-06,8.6321e-06,8.02598e-06,7.32693e-06,6.87062e-06,6.46302e-06,6.09722e-06,5.76748e-06,5.3758e-06,5.1589e-06,4.94127e-06,4.21968e-06,3.73493e-06,3.34642e-06,3.02888e-06,2.73089e-06,2.48519e-06,2.256e-06,2.09328e-06,1.90273e-06,1.7648e-06,1.62706e-06,1.50917e-06,1.3937e-06,1.30048e-06,1.2063e-06,1.12484e-06,1.05368e-06,9.858e-07,9.23421e-07,8.68468e-07,8.12092e-07,7.65604e-07,7.1328e-07,6.73811e-07,6.32952e-07,5.96769e-07,5.60174e-07,5.32116e-07,5.00288e-07,4.72055e-07,4.4684e-07,4.21132e-07,3.98224e-07,3.77678e-07,3.56961e-07,3.36457e-07,3.18179e-07,3.01786e-07,2.85601e-07,2.71064e-07,2.56805e-07,2.42959e-07,2.3053e-07,2.18493e-07,2.07651e-07,1.97169e-07,1.87095e-07
2.37e-06,6.68843e-06,3.21073e-05,0.000164305,0.00105124,0.00150604,0.00142714,0.00116139,0.00081131,0.000542162,0.000361402,0.000245554,0.000171716,0.000131971,9.76947e-05,7.44917e-05,5.83427e-05,4.67977e-05,3.83346e-05,3.19864e-05,2.8203e-05,2.45405e-05,2.07185e-05,1.84437e-05,1.65516e-05,1.49616e-05,1.36125e-05,1.21096e-05,1.11598e-05,1.03324e-05,9.60685e-06,8.77012e-06,8.22392e-06,7.73604e-06,7.29819e-06,6.9035e-06,6.43466e-06,6.17505e-06,5.91455e-06,5.05083e-06,4.4706e-06,4.00557e-06,3.62548e-06,3.26879e-06,2.9747e-06,2.70037e-06,2.5056e-06,2.27751e-06,2.11242e-06,1.94754e-06,1.80643e-06,1.66821e-06,1.55663e-06,1.44391e-06,1.3464e-06,1.26123e-06,1.17997e-06,1.1053e-06,1.03953e-06,9.72048e-07,9.16405e-07,8.53774e-07,8.06532e-07,7.57626e-07,7.14314e-07,6.70512e-07,6.36927e-07,5.98831e-07,5.65036e-07,5.34853e-07,5.04083e-07,4.76661e-07,4.52071e-07,4.27272e-07,4.02727e-07,3.80852e-07,3.61229e-07,3.41856e-07,3.24455e-07,3.07387e-07,2.90815e-07,2.75937e-07,2.6153e-07,2.48553e-07,2.36006e-07,2.23947e-07
2.85e-06,8.04303e-06,3.86099e-05,0.000197581,0.00126415,0.00181104,0.00171617,0.0013966,0.000975619,0.000651965,0.000434594,0.000295286,0.000206494,0.000158699,0.000117481,8.95785e-05,7.01589e-05,5.62757e-05,4.60986e-05,3.84648e-05,3.39149e-05,2.95108e-05,2.49147e-05,2.21792e-05,1.99039e-05,1.79918e-05,1.63694e-05,1.45622e-05,1.342e-05,1.2425e-05,1.15526e-05,1.05464e-05,9.88952e-06,9.30283e-06,8.7763e-06,8.30168e-06,7.73789e-06,7.42569e-06,7.11244e-06,6.07379e-06,5.37604e-06,4.81683e-06,4.35976e-06,3.93082e-06,3.57717e-06,3.24728e-06,3.01306e-06,2.73878e-06,2.54025e-06,2.34198e-06,2.17229e-06,2.00608e-06,1.8719e-06,1.73635e-06,1.61909e-06,1.51666e-06,1.41895e-06,1.32916e-06,1.25007e-06,1.16892e-06,1.10201e-06,1.02669e-06,9.69878e-07,9.11068e-07,8.58986e-07,8.06311e-07,7.65926e-07,7.20114e-07,6.79474e-07,6.43179e-07,6.06175e-07,5.73199e-07,5.43628e-07,5.13808e-07,4.84293e-07,4.57985e-07,4.3439e-07,4.11092e-07,3.90168e-07,3.69643e-07,3.49714e-07,3.31824e-07,3.14498e-07,2.98892e-07,2.83804e-07,2.69303e-07
