,0.899,0.944,0.992,1.042,1.095,1.15,1.208,1.269,1.333,1.4,1.47,1.544,1.622,1.704,1.79,1.88,1.974,2.073,2.177,2.286,2.401,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.672,6.822,6.972,7.122,7.272,7.422,7.572,7.722,7.872,8.022,8.158,8.566,8.995,9.445,9.918,10.414,10.935
5.91e-06,1.08934,0.929874,0.793902,0.681498,0.58771,0.510293,0.446676,0.388733,0.342185,0.300813,0.273229,0.240445,0.195499,0.172261,0.15289,0.136273,0.12193,0.109359,0.0983385,0.0886838,0.0801368,0.0738565,0.0683321,0.0634981,0.059221,0.055432,0.0520471,0.0490119,0.0462803,0.0438113,0.0415719,0.0395324,0.0376665,0.0359538,0.034379,0.03292,0.0315745,0.0303266,0.0291677,0.0280887,0.027081,0.0261391,0.0252565,0.024428,0.0236491,0.0229155,0.0222236,0.0215688,0.0209499,0.0203639,0.0198013,0.0192709,0.0187676,0.0182876,0.0178298,0.0173941,0.0169782,0.0165795,0.0161985,0.0158338,0.0154842,0.0151485,0.0148262,0.0146019,0.0141545,0.0137318,0.013332,0.0129533,0.0125942,0.0122532,0.0119291,0.0116209,0.0113274,0.0110734,0.0103742,0.00972932,0.00913851,0.0085992,0.00811114,0.0076712
7.09e-06,1.35006,1.14926,0.978494,0.837901,0.720993,0.624754,0.545884,0.474315,0.416946,0.366095,0.332047,0.291861,0.237227,0.208904,0.185292,0.165058,0.1476,0.13231,0.118918,0.107197,0.096829,0.0892157,0.082522,0.0766691,0.0714889,0.066903,0.0628061,0.0591333,0.0558291,0.0528437,0.0501371,0.047673,0.0454187,0.0433496,0.0414477,0.0396844,0.0380594,0.0365526,0.0351536,0.0338514,0.0326352,0.0314986,0.0304339,0.0294345,0.0284949,0.0276101,0.0267757,0.0259858,0.0252395,0.0245328,0.0238528,0.0232127,0.0226057,0.0220266,0.0214742,0.0209487,0.0204472,0.0199663,0.0195069,0.0190672,0.0186457,0.0182411,0.0178525,0.0175822,0.0170429,0.0165336,0.0160518,0.0155954,0.0151626,0.0147518,0.0143614,0.01399,0.0136365,0.0133305,0.0124883,0.0117115,0.011,0.0103506,0.00976293,0.00923328
8.51e-06,1.68256,1.42858,1.21276,1.03571,0.888965,0.768477,0.670048,0.5811,0.509976,0.44713,0.404813,0.355307,0.288709,0.254017,0.225103,0.200375,0.179093,0.160457,0.144143,0.129865,0.117246,0.107989,0.0998552,0.0927496,0.0864587,0.0808946,0.0759236,0.0714683,0.0674622,0.0638443,0.0605661,0.0575827,0.0548537,0.0523491,0.0500476,0.0479119,0.0459457,0.0441228,0.0424309,0.0408564,0.039386,0.0380123,0.0367255,0.0355179,0.0343827,0.0333138,0.0323058,0.0313514,0.0304499,0.0295964,0.0287728,0.0279989,0.0272656,0.0265657,0.0258979,0.0252632,0.0246576,0.0240766,0.0235217,0.0229907,0.0224819,0.0219934,0.0215242,0.0211979,0.020547,0.0199322,0.0193507,0.0188,0.0182778,0.0177821,0.0173111,0.0168631,0.0164366,0.0160675,0.0150516,0.0141148,0.0132568,0.0124737,0.0117653,0.0111268
1.02e-05,2.09992,1.78042,1.5078,1.28437,1.09962,0.948135,0.824752,0.71372,0.625172,0.547193,0.494293,0.433089,0.351812,0.309221,0.273724,0.243439,0.217424,0.194665,0.174752,0.157372,0.142016,0.130757,0.12087,0.112233,0.104583,0.0978251,0.0917871,0.0863778,0.0815168,0.0771293,0.0731565,0.0695429,0.0662379,0.0632049,0.060419,0.0578311,0.0554515,0.0532455,0.0511991,0.0492954,0.0475175,0.0458571,0.0443021,0.0428429,0.0414715,0.0401804,0.038963,0.0378098,0.0367211,0.0356904,0.0346924,0.0337568,0.032871,0.0320251,0.031218,0.0304515,0.0297203,0.0290183,0.0283482,0.0277073,0.0270932,0.0265035,0.0259372,0.0255434,0.0247579,0.0240161,0.0233146,0.0226502,0.0220204,0.0214225,0.0208545,0.0203142,0.0197999,0.0193549,0.0181301,0.0170008,0.0159666,0.0150229,0.0141693,0.0134002
1.22e-05,2.60803,2.21528,1.87529,1.59509,1.36304,1.17245,1.01743,0.878468,0.767869,0.670794,0.604269,0.528359,0.429142,0.376717,0.333048,0.295894,0.264045,0.236209,0.211879,0.190676,0.171957,0.158253,0.146229,0.135745,0.126451,0.118251,0.110923,0.104356,0.0984621,0.093138,0.0883212,0.083943,0.0799395,0.0762658,0.0728933,0.0697565,0.0668763,0.064207,0.0617322,0.0594309,0.0572817,0.0552755,0.0533971,0.0516347,0.0499787,0.0484199,0.0469504,0.0455577,0.0442437,0.0429999,0.0417903,0.0406596,0.0395901,0.0385682,0.0375931,0.036668,0.0357858,0.0349381,0.0341294,0.0333563,0.0326156,0.0319043,0.0312213,0.0307463,0.0297992,0.028905,0.0280594,0.0272586,0.0264995,0.0257791,0.0250947,0.0244437,0.0238242,0.023288,0.0218128,0.0204528,0.0192076,0.0180715,0.0170441,0.0161187
1.47e-05,3.22427,2.76085,2.34733,1.99996,1.70936,1.46836,1.27185,1.09584,0.955817,0.8332,0.747917,0.652333,0.529908,0.464479,0.409991,0.363786,0.324285,0.2898,0.259697,0.233502,0.210419,0.193534,0.178737,0.165852,0.154426,0.144357,0.135355,0.127297,0.120066,0.113545,0.107655,0.1023,0.0974048,0.0929126,0.088791,0.0849543,0.081431,0.07817,0.0751485,0.0723374,0.0697121,0.067263,0.0649706,0.0628203,0.0608004,0.0588994,0.0571079,0.055409,0.053807,0.0522911,0.0508088,0.0494282,0.0481241,0.0468771,0.0456869,0.0445594,0.0434845,0.0424505,0.0414651,0.0405233,0.0396213,0.0387549,0.0379232,0.0373449,0.036192,0.0351036,0.0340746,0.0331002,0.0321767,0.0313005,0.0304681,0.0296765,0.0289232,0.0282713,0.0264779,0.0248251,0.023312,0.0219319,0.0206843,0.0195606
1.76e-05,3.85711,3.34901,2.87837,2.4702,2.1214,1.82552,1.58152,1.36163,1.18602,1.03206,0.922724,0.802705,0.652481,0.571008,0.503157,0.445817,0.396945,0.354325,0.317162,0.28489,0.256496,0.235755,0.217594,0.201817,0.187808,0.175493,0.164472,0.154615,0.145774,0.137814,0.130622,0.1241,0.118138,0.112663,0.107643,0.10296,0.098674,0.0947039,0.0910285,0.0876146,0.0844264,0.0814508,0.0786692,0.0760608,0.0736111,0.0713034,0.0691319,0.0670684,0.0651267,0.0632872,0.0614791,0.0598025,0.0582187,0.0567053,0.0552583,0.0538895,0.0525877,0.0513314,0.0501353,0.0489929,0.047899,0.0468483,0.0458397,0.0451386,0.0437411,0.0424223,0.0411755,0.0399952,0.0388768,0.0378159,0.0368081,0.0358498,0.034938,0.0341491,0.0319791,0.0299799,0.0281501,0.0264816,0.0249739,0.0236165
2.12e-05,4.49047,3.96416,3.46205,3.01149,2.61603,2.26795,1.97395,1.70379,1.48528,1.29199,1.15014,0.998131,0.8127,0.710095,0.624555,0.552517,0.491338,0.438,0.391526,0.351287,0.315914,0.290137,0.267591,0.248052,0.230669,0.215439,0.201797,0.189597,0.178672,0.168843,0.159986,0.151953,0.144606,0.137869,0.131698,0.125916,0.120647,0.115765,0.11125,0.107063,0.103149,0.0995026,0.0960919,0.0928914,0.0898896,0.0870661,0.0844067,0.0818807,0.0795,0.0772513,0.0750191,0.072958,0.0710203,0.0691636,0.0673883,0.0657148,0.064119,0.0625815,0.0611171,0.0597216,0.0583838,0.0570984,0.0558667,0.0550093,0.0533029,0.0516908,0.0501691,0.0487267,0.0473623,0.0460665,0.0448376,0.0436674,0.0425541,0.0415927,0.0389457,0.0365061,0.0342755,0.0322422,0.0304044,0.0287506
2.54e-05,5.05258,4.52341,4.01239,3.54404,3.12648,2.74537,2.41384,2.09994,1.84007,1.60542,1.42452,1.23503,1.00907,0.88082,0.773577,0.683465,0.607132,0.540531,0.482499,0.432381,0.388373,0.356366,0.328408,0.304245,0.282702,0.263898,0.247029,0.231953,0.218464,0.206349,0.195446,0.185575,0.17655,0.168269,0.16069,0.153572,0.147101,0.141113,0.135578,0.130448,0.125654,0.121193,0.117021,0.113114,0.109445,0.105995,0.102744,0.0996558,0.0967515,0.0940061,0.091253,0.088731,0.0863626,0.0840871,0.0819165,0.0798722,0.0779248,0.0760441,0.0742585,0.0725532,0.070924,0.069356,0.0678533,0.0668079,0.0647277,0.0627634,0.0609093,0.0591546,0.057491,0.0559157,0.0544178,0.0529958,0.0516414,0.0504716,0.0472521,0.0442881,0.041577,0.0391067,0.0368754,0.0348695
3.05e-05,5.56379,5.03456,4.52317,4.05034,3.62873,3.23465,2.88453,2.54196,2.25123,1.98071,1.75647,1.52617,1.25523,1.09653,0.962839,0.850293,0.755014,0.671552,0.598705,0.535898,0.480768,0.440726,0.405807,0.375724,0.348809,0.325435,0.304412,0.285631,0.268849,0.253802,0.240282,0.22806,0.216894,0.206643,0.197275,0.188433,0.180433,0.17303,0.166201,0.159876,0.153964,0.148472,0.143337,0.138529,0.134017,0.129775,0.125784,0.121983,0.118414,0.115042,0.111619,0.108507,0.105594,0.102793,0.100116,0.0976035,0.0952124,0.0928967,0.090702,0.0886112,0.0866095,0.0846875,0.082843,0.0815606,0.0790097,0.0766044,0.0743301,0.0721802,0.0701451,0.0682164,0.0663833,0.0646429,0.062986,0.0615548,0.0576177,0.0539966,0.0506841,0.0476672,0.0449456,0.0424987
